"","Latitude","Longtitude","n"
"1",40.7888693016321,-73.966740240031,1
"2",40.7900547711022,-73.9658693171572,1
"3",40.790675997924,-73.9691228378021,1
"4",40.7908999647618,-73.9652549498821,1
"5",40.7910245038936,-73.9688445996734,1
"6",40.7910985969648,-73.968790394194,1
"7",40.7912742332769,-73.96869280415,1
"8",40.7913153875421,-73.9686313910169,2
"9",40.7913236286111,-73.968656666929,1
"10",40.7913757617787,-73.968595248549,1
"11",40.7914224192444,-73.968584392326,1
"12",40.791699582705,-73.968385633455,1
"13",40.7917023244631,-73.9683747978935,3
"14",40.7917023264447,-73.9683820207322,2
"15",40.7917599479309,-73.9683169877533,1
"16",40.7918848349367,-73.9737882443093,1
"17",40.7922610473506,-73.964261090733,1
"18",40.7923334806233,-73.9678977861346,2
"19",40.792346286907,-73.975315707957,1
"20",40.792440503947,-73.9678218938703,1
"21",40.7925873739539,-73.9733004195547,1
"22",40.7925969212346,-73.9677062512794,1
"23",40.7926271142759,-73.9677098481034,2
"24",40.7928123973134,-73.9731089208697,1
"25",40.7928206365567,-73.9731305864242,1
"26",40.792996269733,-73.9730041133895,1
"27",40.7930085463394,-73.9674062978792,2
"28",40.7930840858433,-73.9729390708747,1
"29",40.7930958970652,-73.9767528051571,1
"30",40.793178252053,-73.9768177833953,3
"31",40.7931995335743,-73.9635852362128,1
"32",40.7932774796736,-73.9672292024527,1
"33",40.7932774807004,-73.9672328139575,1
"34",40.7932934122895,-73.9762362908219,1
"35",40.7935208504127,-73.974484623217,1
"36",40.7936145768354,-73.9763878601658,1
"37",40.7936599233483,-73.9706671869647,2
"38",40.793765940362,-73.9668750318901,1
"39",40.7938053599279,-73.9705334961299,1
"40",40.7938144899159,-73.9742750416828,1
"41",40.7941133166198,-73.9629202110504,1
"42",40.7941525252845,-73.9762973805489,6
"43",40.7942032714633,-73.9702443955675,1
"44",40.7942294228,-73.9765176581361,2
"45",40.7942943021854,-73.9720609697628,1
"46",40.7943633456236,-73.9738739459774,2
