"","Created.Date","Closed.Data","Latitude","Longtitude"
"1",NA,NA,NA,NA
"2","2017-10-18","2017-10-19",40.80778,-73.95292
"3","2017-12-15","2017-12-25",40.80311,-73.95825
"4","2018-01-30","2018-01-31",40.80302,-73.95267
"5","2018-04-09",NA,40.80856,-73.95978
"6","2018-07-11","2018-07-13",40.80826,-73.95627
"7","2018-09-25","2018-09-25",40.80311,-73.95825
"8","2019-01-09","2019-01-09",40.80596,-73.95282
"9","2019-02-25","2019-02-26",40.8053,-73.95664
"10","2019-03-29","2019-04-01",40.80467,-73.95276
"11","2019-06-29","2019-07-31",40.80225,-73.95324
"12","2019-09-12","2019-09-12",40.80318,-73.95254
"13","2019-11-12","2019-11-19",40.80948,-73.95722
"14","2019-11-03","2019-12-19",40.80764,-73.95672
"15","2010-02-01","2010-01-26",40.80988,-73.95328
"16","2010-03-05","2010-03-08",40.80507,-73.95996
"17","2010-03-31","2010-04-01",40.80225,-73.95324
"18","2010-04-13","2010-04-13",40.80507,-73.95996
"19","2010-04-22","2010-04-22",40.80507,-73.95996
"20","2010-05-01","2010-05-03",40.80507,-73.95996
"21","2010-05-25","2010-05-27",40.80523,-73.96223
"22","2010-05-25","2010-06-15",40.80584,-73.96175
"23","2010-06-17","2010-06-17",40.80239,-73.96247
"24","2010-09-20","2010-09-16",40.80778,-73.95292
"25","2010-11-03","2010-11-08",40.80751,-73.96054
"26","2010-11-25","2010-11-29",40.80751,-73.96054
"27","2010-12-20","2010-12-21",40.80239,-73.96247
"28","2011-04-01","2011-04-05",40.80203,-73.959
"29","2011-04-13","2011-04-13",40.80902,-73.95392
"30","2011-11-29","2011-11-29",40.80909,-73.95387
"31","2012-04-16","2012-04-24",40.80997,-73.95503
"32","2012-09-03","2012-09-04",40.80281,-73.95844
"33","2012-11-13","2012-11-13",40.80311,-73.95825
"34","2013-01-19","2013-01-22",40.80778,-73.95292
"35","2013-07-17","2013-07-26",40.80836,-73.95992
"36","2013-11-06","2013-11-07",40.80225,-73.95324
"37","2014-01-13","2014-01-16",40.80436,-73.96287
"38","2014-05-29","2014-05-31",40.80907,-73.95941
"39","2014-07-06","2014-07-14",40.80907,-73.95941
"40","2014-07-30","2014-08-04",40.80716,-73.95525
"41","2014-08-16","2014-08-18",40.80911,-73.95301
"42","2014-08-26","2014-08-27",40.80602,-73.95609
"43","2014-11-12","2014-11-10",40.80311,-73.95825
"44","2014-12-05","2014-12-08",40.80452,-73.9553
"45","2014-12-09","2014-12-16",40.80325,-73.95621
"46","2015-08-09","2015-08-12",40.80402,-73.9582
"47","2015-09-21","2015-09-28",40.804,-73.9527
"48","2015-10-05","2015-10-07",40.80963,-73.95527
"49","2015-11-05","2015-11-06",40.80482,-73.95699
"50","2015-11-22","2015-11-25",40.80346,-73.95234
"51","2016-01-06","2016-01-12",40.80346,-73.95234
"52","2016-02-22","2016-02-25",40.80854,-73.95427
"53","2016-08-06","2016-08-08",40.80223,-73.95886
"54","2016-08-15","2016-08-18",40.80311,-73.95825
"55","2016-09-02","2016-09-08",40.80778,-73.95292
"56","2017-03-03","2017-03-06",40.80436,-73.96287
"57","2017-03-04","2017-03-06",40.80436,-73.96287
"58","2017-03-14","2017-03-15",40.80436,-73.96287
"59","2017-08-24","2017-08-25",40.80778,-73.95292
